id_musée;NOM DU MUSEE;ADR;CP;VILLE;TELEPHONE;SITWEB;PERIODE OUVERTURE
346;Musée de la Maison Bonaparte;Rue Saint-Charles;20000;AJACCIO;0495214389;www.musee-maisonbonaparte.fr - www.musees-nationaux-napoleoniens.org;Ouvert du 1er octobre au 31 mars de 10h30 à 12h30 et de 13h15 à 16h30, du 1er avril au 30 septembre de 10h30 à 12h30 et de 13h15 à 18h
347;Musée Fesch;50-52, rue du Cardinal Fesch;20000;AJACCIO;0495262626;www.musee-fesch.com;Ouvert le lundi, mercredi, samedi de 10h à 17h et le jeudi vendredi et dimanche du 3eme week end du mois de 12h à 17h du 1er octobre  au 30 avril, et le lundi mercredi, samedi de 10h30 à 18h et le jeudi, vendredi et dimanche de 12h00 à 18h du 1er mai au 3
348;Musée de l'Alta Rocca;"Quartier Prato
Avenue Lieutenant Aviateur de Peretti";20170;LEVIE;0495780078;http://www.levie-altarocca.com;Ouvert du lundi au samedi d'octobre à mai de 10h à 17h et de juin à septembre tous les jours de 10h à 18h
349;Musée de Préhistoire Corse;Boulevard Jacques Nicolai;20100;SARTENE;0495770109;;
350;Musée Départemental d'Archéologie d'Aléria;Fort de Matra;20270;ALERIA;0495570092;www.cg2b.fr;Ouvert du 16 mai au 30 septembre de 9h à 12h et de 13h à 18h et du 1er octobre au 15 mai de 8h à 12h et de 13h à 17h
351;Musée de Bastia;"Place du donjon
La Citadelle";20200;BASTIA Cedex;0495310912;www.musee-bastia.com;Ouvert du 1er mai au 30 septembre de 10h à 18h30, tous les jours en juillet août, du 1er octobre au 30 avril de 9h à 12h et de 14h à17h (basse saison)
352;Musée de la Corse;"La Citadelle
B.P. 73";20250;CORTE;0495452545;www.musee-corse.com;Ouvert du 1er novembre au 31 mars de 10h à 17h du lundi au samedi, du 1er avril au 21 juin de 10h à 18h du mardi au dimanche, du 22 juin au 20 septembre de 10h à 20h tous les jours, du 22 septembre au 31 octobre de 10h à 18h du mardi au dimanche
353;Musée Archéologique de Mariana - Prince Rainier III de Monaco;Mairie de Lucciana;20290;LUCCIANA;;http://www.lucciana.fr/mariana,-site-historique-le-musee-archeologique-de-mariana-%20-%C2%AB-prince-rainier-iii-de-monaco-%C2%BB_202.html;
354;Musée Départemental Pascal Paoli;Hameau de la Stretta 20261;20218;MOROSAGLIA;0495610497;www.cg2b.fr;Ouvert du 16 mai au 30 septembre de 9h à 12h et de 13h à 18h et du 1er octobre au 15 mai de 8h à 12h et de 13h à 17h
355;Musée des Beaux-Arts et d'Archéologie;1, Place de la Révolution;25000;BESANCON;0381878067;www.mbaa.besancon.fr;Ouvert le lundi, mercredi au vendredi de 9h30 à 12h et de 14h à 18h, samedi dimanche de 9h30 à 18h
356;Muséum de Besançon;"La Citadelle
Rue des Fusillés de la Résistance";25000;BESANCON;0381878305;www.citadelle.com;Ouverture de la Citadelle du mercredi au lundi du 2 janvier au 29 mars de 10h à 17h, du 30 mars au 4 juillet tlj de 9h à 18h, du 5 juillet au 24 août tlj de 9h à 19h, du 25 août au 25 octobre tlj de 9h à 18h, du 26 octobre au 5 novembre tlj de 10h à 17h30
357;Musée de la résistance et de la Déportation;"La Citadelle
Rue des Fusillés";25000;BESANCON;0381878312;www.citadelle.com;Ouvert de novembre à mars du mercredi au lundi de 10h à 16h45, d'avril à mai et de septembre à octobre tous les jours de 9h à 17h45 et en juillet août tous les jours de 9h à 18h45
358;Musée Comtois;"LA CITADELLE
Rue des Fusillés";25000;BESANCON;0381878316;www.citadelle.com;Ouvert de novembre à mars de 10h à 16h45 et d'avril à octobre de 9h à 17h45 (18 h 45 en juillet et août)
359;Musée du Temps;96, Grande rue;25000;BESANCON;0381878161;www.besancon.fr/museedutemps;Ouvert du mardi au samedi de 9h15 à 12h et de 14h à 18h , dimanche et jours fériés de 10h à 18h
360;Musée Beurnier-Rossel;"8, Place Saint-Martin
B.P. 95287";25200;MONTBELIARD;0381992261;www.montbeliard.fr;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h
361;Musée du Château des Ducs de Wurtemberg;B.P. 95287;25205;MONTBELIARD Cedex;0381992261;www.montbeliard.fr;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h
362;Musée de Plein Air des Maisons Comtoises;Rue du Musée;25360;NANCRAY;0381552977;www.maisons-comtoises.org;Ouvert de mars à avril de 13h30 à 18h30, les dimanche et jours fériés de 10h à 18h30, en mai-juin tlj de 10h à 18h30, en juillet-août jusqu'au 14 septembre tlj de 10h à 19h, et du 15 septembre au 11 novembre de 13h à 18h, les dimanches et jours fériés de 
363;Musée-Maison Natale Gustave Courbet;1, Place Robert Fernier;25290;ORNANS;0381622330;http://www.musee-courbet.fr;Ouvert d'avril à juin du mercredi au lundi de 10h à 12h et de 14h à 18h, d'octobre à mars de 9h à 12h et de 14h à 17h, et du 1er juillet au 30 septembre de  10h à 18h
364;Musée de Pontarlier;2, Place d'Arçon;25300;PONTARLIER;0381388214;Site de la ville;Ouvert le lundi et du mercredi au vendredi de 10h à 12h et de 14h à 18h, samedi, dimanche et jours fériés de 14h à 18h.
365;Musée Départemental Albert Demard;Château de Champlitte;70600;CHAMPLITTE;0384678200;www.cg70.fr/decouvertes/musee;Ouvert du 1er avril au 30 septembre de 9h30 à 12h et de 14h à 18h et  du 1er octobre au 31 mars de 14h à 17h et de mi-février-31 mars de 14h à 17h
366;Ecomusée du Pays de la Cerise;206, Le Petit Fahyr;70220;FOUGEROLLES;0384495250;www.musees-des-techniques.org;Ouvert du 15 février au 30 juin et du 1er septembre au 15 novembre du mercredi au dimanche de 14h à 18h, en juillet-août du lundi au samedi de 11h à 19h, le dimanche de 14h à 19h
367;Musée Baron Martin;6, rue Edmond Pigalle;70100;GRAY;0384656910;/www.musee-baronmartin.fr;Ouvert du 2  janvier au 30 avril et du 1er octobre au 31 décembre de 14h à 17h du mercredi au lundi, et du 2 mai au 30 septembre de 10h à 12 h et de 14h à 18h du mercredi au lundi
368;Musée Départemental de la Montagne Albert Demard;Château-Lambert;70440;LE HAUT-DU-THEM;0384204309;http://musees.cg70.fr;Ouvert du 1er février au 31 mars le lundi et du mercredi au vendredi de 14h à 17h, week-end de 14h à 17h, du 1er avril au 30 juin et en septembre de  9h30 à 12h et de 14h à 18h,  en  juillet-août de  9h30 à 19h du lundi au samedi et  le dimanche de 14h-19
369;Musée de la Tour des Echevins;36, Rue Victor Genoux;70300;LUXEUIL-LES-BAINS;0384400007;www.luxeuil.fr;Ouvert de mai à octobre de 14h à 18h du mercredi au lundi
370;Musée Georges Garret;1, Rue des Ursulines;70000;VESOUL;0384765154;Site des musées de la région;Ouvert du mercredi au lundi de 14h à 18h. Groupes sur réservation le matin
371;Musée de la Vigne et du Vin;"Château Pécauld
B.P. 41";39600;ARBOIS;0384664045;http://www.juramusees.com/musee-vigne-vin/musee-vigne-vin.htm;Ouvert de novembre à février de 14h à 18h du mercredi au lundi, de mars à octobre de 10h à 12h et de 14h à 18h du mercredi au lundi, en juillet-aôut tous les jours de 10h à 12h30 et de 14h à 18h. Visites guidées toute l'année pour les groupes.
372;Musée Sarret de Grozon;Grande Rue;39600;ARBOIS;0384374790;Site des musées de la région;Ouvert du 1er juillet au 31 août de 15h à 18h30 du mercredi au lundi et du 1er au 16 septembre du jeudi au dimanche de 15h à 18h30
373;Musée Municipal d'Archéologie;26, rue Baronne Delort;39300;CHAMPAGNOLE;0384530129;www.tourisme.champagnole.com;Ouvert du mercredi au lundi en juillet et août de 14h à 18h + journées du patrimoine. Ouvert toute l'année pour les groupes sur réservation
374;Musée des Beaux-Arts;85, rue des Arènes;39100;DOLE;0384792585;Site de la ville ou site des musées de la région;Ouvert mardi, jeudi, vendredi et samedi de 10h à 12h et de 14h à 18h, le mercredi de 10h à 12h et de 14h à 20h, dimanche de 14h à 18h
375;Musée des Beaux-Arts;Place Philibert de Châlon;39000;LONS-LE-SAUNIER;0384476430;Site des musées de la région;Ouvert du mardi au vendredi de 14h à 17h, samedi, dimanche et jours fériés de 14h à 18h
376;Musée d'Archéologie;7, Rue des Cordeliers;39000;LONS-LE-SAUNIER;0384478845;Site de la ville;Pas de salle d'expositions actuellement, mais maintien de conférences et animations toute l'année
377;Musée du Jouet;5, Rue du Murgin;39260;MOIRANS-EN-MONTAGNE;0384423864;www.musee-du-jouet.fr et Site des musées de la région;Ouvert de septembre à juin lundi, mercredi au vendredi de 10h à 12h30 et de 14h à 18h30, samedi et dimanche de 14h30 à 18h30, et en juillet août tous les jours de 10h à 19h
378;Viséum-Musée de la Lunette;Place Jean Jaurès;39400;MOREZ HAUTS DE BIENNE;0384333930;www.musee-lunette.fr ou www.musees-franchecomte.com;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h, juillet-août de 10h à 18h
379;Musée Municipal de Poligny;"Hôtel de Ville
49, Grande Rue";39800;POLIGNY;0384737171;www.musee-poligny.fr;
380;Musée de l'Abbaye/Donations Guy Bardone - René Genis;3, Place de l'Abbaye;39200;SAINT-CLAUDE;0384381260;www.museedelabbaye.fr;Ouvert du 1er septembre au 30 juin du mercredi au dimanche de 10h à 12h et de 14h à 18h et du 1er juillet au 31 aôut du mercredi au lundi de 10h à 12h et de 14h à 18h
381;Musée Max Claudet;Place des Salines;39110;SALINS-LES-BAINS;0384730134;http://www.juramusees.fr/1/musee/musees/beaux_arts/musee_max_claudet_salins_les_bains.html;
382;Musée des Salines;Place des Salines;39110;SALINS-LES-BAINS;0384731092;www.salinesdessalins.com ou www.musees-des-techniques.org;Ouvert de janvier à mars et de novembre à décembre tous les jours de 10h à 12h et de 14h à 17h, visites guidées à 10h30, 14h15 et 15h30. D'avril à mai et en octobre tous les jours de 9h à 12h et de 14h à 18h, visites guidées à 9h30, 10h30, 14h15, 15h30 et
383;Musée de l'Artisanat Jurassien;Abbaye de Baume-Les-Messieurs;39210;VOITEUR;0384873300;;Ouvert en juillet-août et les week-end de septembre à octobre
384;Musée Frédéric Japy;16, Rue Frédéric Japy;90500;BEAUCOURT;0384565752;www.musees-des-techniques.org ou www.ville-beaucourt.fr;Ouvert du 1er mercredi de mars au dernier dimanche avant Noël du mercredi au dimanche de 14h à 17h
385;Donation Maurice Jardot;"Musée(s) de Belfort
B.P. 20223";90004;BELFORT Cedex;0384904070;www.musees-franchecomte.com;Ouvert du 1er octobre au 31 mars du mercredi au lundi de 9h à 12h et de 14h à 17h, du 1er avril au 31 juin et en septembre du mercredi au lundi de 9h à 12h et de 14h à 18h, du 1et juillet au 31 août tous les jours de 9h à 18h
386;Musée d'Art et d'Histoire;"Château de Belfort
B.P. 733";90020;BELFORT cedex;0384542551;www.musees-franchecomte.com ou http://www.ville-belfort.fr/;Ouvert du 1er octobre au 31 mars du mercredi au lundi de 9h à 12h et de 14h à 17h, du 1er avril au 31 juin et en septembre du mercredi au lundi de 9h à 12h et de 14h à 18h, du 1et juillet au 31 août tous les jours de 9h à 18h
387;Forge-Musée;2, Rue de Lamadeleine;90170;ETUEFFONT;0384546041;www.musees-des-techniques.org ou www.cc-pays-sous-vosgien.fr;Ouvert du 1er avril au 30 septembre du mercredi au dimanche de 14h à 18h et en octobre du vendredi au dimanche de 14h à 18h
388;Ecomusée de Marie-Galante;Habitation Murat;97112;GRAND-BOURG de MARIE-GALANTE;0590974868;;Ouvert du lundi au vendredi de 9h à 17h30 et samedi dimanche de 9h à 13h30 depuis le 8 mars 2008
389;Musée Précolombien Edgar Clerc;440 Route de la Rosette;97160;LE MOULE;0590235757;www.cg971.fr/musees/clerc/index_edgar.htm;Ouvert du lundi au vendredi de 9h à 17h
390;Musée Municipal Saint-John Perse;9, rue de Nozière;97110;POINTE-A-PITRE;0590900192;www.sjperse.org/museesjp.htm;Ouvert du lundi au vendredi de 9h à 17h, le  samedi de 8h30 à 12h30
391;Musée l'Herminier;"Office du Tourisme
1 Centre Commercial Marina";97110;POINTE-A-PITRE;0590820930;;
392;Musée Départemental Victor Schoelcher;24, Rue Peynier;97110;POINTE-A-PITRE -GUADELOUPE;0590820804;www.cg971.fr/musees/schoelcher/index_schoecher.htm;Ouvert du lundi au vendredi de 9h à 17h
393;Musée des Cultures Guyanaises;78, Rue Mme Payé;97300;CAYENNE;0594314172;www.mcg973.org ou www.amazonian-museum-network.org;Ouvert lundi et mardi de 8h à 13h et de 15h à 17h45, mercredi de 8h à 13h, jeudi et vendredi de 8h à 13h et de 15h à 17h45, samedi de 8h à 11h45
394;Musée Départemental Alexandre Franconie;1, Avenue du Général-de-Gaulle;97300;CAYENNE - GUYANE;0594295913;;"De septembre à juin :
Lundi : 10h00-14h00 / 15h00-18h00
Mercredi : 8h00-13h30 / 15h00-18h00
Jeudi : 8h00-14h00
Vendredi : 8h00-14h00 / 15h00-18h00
Samedi : 9h00-13h30
Juillet et août :
Du lundi au vendredi : 8h00-14h30
Samedi : 9h00-13h30"
395;Ecomusée Municipal d'Approuague-Kaw;"Rue Gaston Monnerville
Le Bourg";97390;REGINA;0594370944;http://www.coeurdeforet.fr/guyane/regina-guyane-amazonie/ecomusee-regina;Ouvert mercredi, vendredi, samedi et dimanche de 9h30 à 17h30. Accueil à la carte et sur rendez-vous pour les groupes. Ouvert lors des vacances scolaires de 9h30 à 17h30 sauf le mardi
396;Musée Français de la Photographie;78, Rue de Paris;91570;BIEVRES;0169351650;www.museedelaphoto.fr;"Ouvert du mercredi au dimanche de 13h30 à 17h30
Accueil des groupes du mercredi au dimanche de 9h30 à 17h30"
397;Musée Dunoyer de Segonzac;5, Place des Droits de l'Homme;91800;BOUSSY-SAINT-ANTOINE;;;
398;Musée Municipal Robert Dubois-Corneau;16, Rue du Réveillon;91800;BRUNOY;0160463360;www.brunoy.fr;Ouvert du mercredi au dimanche de 14h à 18h du 1er mai au 31 octobre et de 14h à 17h du 1er novembre au 30 avril. Pour les scolaire ouvert du mercredi au vendredi de 9h à 12h et de 14h à 17h
399;Musée du Château;Place du Général de Gaulle;91410;DOURDAN;0164596683;Site de la ville - www.mairie-dourdan.fr;Ouvert du mercredi au dimanche et les jours fériés de 10 h à 12 h et de 14 h à 18 h, 17h le vendredi
400;Musée Intercommunal d'Etampes;Place de l'Hôtel de Ville;91150;ETAMPES;0169926912;site de la ville;Ouvert du mercredi au dimanche de 14h à 17h
401;Albert-Kahn, Musée et Jardin Départementaux;10-14, Rue du Port;92100;BOULOGNE-BILLANCOURT;0155192803;albert-kahn.hauts-de-seine.fr/;Ouvert du mardi au dimanche de 11h à 18h d'octobre à avril et de 11h à 19 h de mai à septembre
402;Musée des Années Trente;"Espace Landowski
28, avenue André Morizet";92100;BOULOGNE-BILLANCOURT;0155184642;www.annees30.com;Ouvert du mardi au dimanche de 11h à 18h
403;Musée Belmondo et de la Sculpture Figurative du XXè siècle;"Château Buchillot
14, Rue de l'Abreuvoir";92100;BOULOGNE-BILLANCOURT;0155186901;http://www.boulognebillancourt.com;Ouvert du mardi au vendredi de 14h à 18h et du samedi au dimanche de 11h à 18h
404;Musée-Jardin Paul Landowski;14, Rue Max Blondat;92100;BOULOGNE-BILLANCOURT;0146058269;www.boulognebillancourt.com;Ouvert les mercredi, samedi et dimanche de 10h à 12h et de 14h à 17h
405;Fondation Arp;21, Rue des Châtaigniers;92140;CLAMART;0145342263;www.fondationarp.org;Ouverture les vendredi, samedi, dimanche de 14 à 18h et sur rendez-vous pour les groupes
406;Musée Municipal d'Art et d'Histoire;2, Rue Gabriel Péri;92700;COLOMBES;0147863885;Site de la ville - www.mairie-colombes.fr;Ouvert du mercredi au samedi de 14h à 18h, vendredi de 16h à 19h pour les groupes sur réservation tout au long de la semaine
407;Musée Roybet Fould;"Parc de Bécon
178, Boulevard Saint Denis";92400;COURBEVOIE;0143333073;https://www.ville-courbevoie.fr/culture-loisirs/equipements/musee-roybet-fould.htm;Ouvert du mercredi au lundi de 10h30 à 18h
408;Musée des Travaux Publics;Mairie de Courbevoie;92400;COURBEVOIE;0143347000;Site de la ville;
409;Musée Français de la Carte à Jouer;16, Rue Auguste Gervais;92130;ISSY-LES-MOULINEAUX;0141238360;http://www.museecarteajouer.com/;Ouvert du mercredi au vendredi de 11h à 17h, samedi et dimanche de 14h à 18h,  juillet-août du mercredi au dimanche de 13h à 18h. Groupes sur rendez-vous le mardi
410;Musée - Atelier Rodin;19, Avenue Auguste Rodin;92190;MEUDON;0141143500;www.musee-rodin.fr;Ouvert du vendredi au dimanche de 13h à 18h toute l'année depuis le 31 mars 2012
411;Musée d'Art et d'Histoire;11, Rue des Pierres;92190;MEUDON;0146238713;www.meudon.fr;Ouvert du mardi au dimanche de 14h à 18h. Pour les groupes et centre de documentation ouvert du lundi au dimanche de 9h à 12h et de 14h à 18h
412;Musée des Automates;"Hôtel Arturo Lopez
12, Rue du Centre";92200;NEUILLY-SUR-SEINE;0155626090;;Musée en travaux ouvert 6 jours en 2010
413;Musée National des Châteaux de Malmaison et de Bois-Préau;Avenue du Château de Malmaison;92500;RUEIL-MALMAISON;0141290555;www.chateau-malmaison.fr;Ouvert du mercredi au lundi du 1er octobre au 31 mars de 10h à 12h30 et de 13h30 à 17h15, week-end 17h45, du 1er avril au 30 septembre de 10h à 12h30 et de 13h30 à 17h45, week-end 18h15. Ouverture du parc du 1er octobre au 31 mars de 10h à 18h et du 1er a
414;Musée Franco-Suisse;13, Boulevard Foch;92501;RUEIL-MALMAISON Cedex;0147326650;Site de la mairie : /www.mairie-rueilmalmaison.fr;ouvert tous les jeudis de 14h30 à 18h ou sur rendez-vous les autres jours
415;Musée d'Histoire Locale - Mémoire de la Ville;13, Boulevard Foch;92501;RUEIL-MALMAISON Cedex;0147326650;Site de la mairie : /www.mairie-rueilmalmaison.fr;Ouvert du lundi au samedi de 14h30 à 18h
416;Musée Municipal de Saint-Cloud;"""Jardin des Avelines""
60, Rue Gounod";92210;SAINT-CLOUD;0146026718;www.saint-cloud.fr;Ouvert du mercredi au samedi de 12h à 18h et le dimanche de 14h à 18h
417;Musée du Domaine Départemental de Sceaux;Château de Sceaux;92330;SCEAUX;0141872950;http://domaine-de-sceaux.hauts-de-seine.fr/;Ouvert du mercredi au lundi de mars  à octobre de 14h à 18h30, de novembre à février de 13h à 17h. Le matin sur réservation pour les groupes
418;Sèvres - Cité de la Céramique;2, Place de la Manufacture;92310;SEVRES;0146292200;www.sevresciteceramique.fr;Les espaces d'exposition sont ouverts tous les jours de 10h à 17h
419;MUS - Musée d'Histoire Urbaine et Sociale;1, Place de la gare de Suresnes-Longchamp;92150;SURESNES;0141183737;http://mus.suresnes.fr;Ouvert du mercredi au dimanche de 14h à 18h
420;Galerie d’entomologie (Muséum national d'histoire naturelle);57, Rue Cuvier;75005;PARIS;;www.mnhn.fr;
421;Musée Carnavalet-Histoire de Paris;16, Rue de Sévigné;75003;PARIS;0144595858;www.carnavalet.paris.fr;Ouvert du mardi au dimanche de 10h à 18h
422;Crypte Archéologique du Parvis Notre-Dame;"7, Place Jean Paul II
Parvis Notre-Dame";75004;PARIS;0155425010;www.crypte.paris.fr;Ouvert de 10h à 18h
423;Maison de Victor Hugo;6, Place des Vosges;75004;PARIS;0142721016;www.maisonsvictorhugo.paris.fr;Ouvert de 10h à 18h du mardi au dimanche
424;Musée National Eugène Delacroix;6, Rue Furstenberg;75006;PARIS;0144418650;www.musee-delacroix.fr;Ouvert du mercredi au lundi de 9h30 à 17h
425;Musée du Louvre;34, Quai du Louvre;75001;PARIS;0140205050;www.louvre.fr;Ouvert lundi, jeudi, samedi et dimanche de  9h à 18h, mercredi et vendredi de 9h à 22h. Le hall Napoléon est ouvert de 9h à 22h
426;Musée National du Moyen Age-Thermes de Cluny;6, Place Paul Painlevé;75005;PARIS;0153737800;www.musee-moyenage.fr;Ouvert du mercredi au lundi de 9h15 à 17h45
427;Musée Zadkine;100 bis, rue d'Assas;75006;PARIS;0155427720;www.zadkine.paris.fr;Ouvert du mardi au dimanche de 10h à 18h
428;Musée de l'Assistance Publique - Hôpitaux de Paris;10, Rue des Fossés Saint-Marcel;75005;PARIS;0140275005;http://www.aphp.fr/musee;
429;Galerie d'Anatomie Comparée et de Paléontologie (Muséum d'Histoire Naturelle);"Jardin des Plantes
2, rue Buffon";75005;PARIS;0140795601;www.mnhn.fr;Ouvert du mercredi au lundi de 10h à 17h30
430;Galerie de Botanique (Muséum National National d'Histoire Naturelle);;75005;PARIS;;www.mnhn.fr;"Ouvert tous les jours de 10h à 17h
Du 1er avril au 30 septembre : 10h - 18h, les samedis, dimanches et jours fériés"
431;Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle);"Jardin des Plantes
36, rue Geoffroy Saint-Hilaire";75005;PARIS;0140795479;www.mnhn.fr;Ouvert du mercredi au lundi de 10h à 18h
432;Galerie de Minéralogie et de Géologie (Muséum d'Histoire Naturelle);"Jardin des Plantes
36, Rue Geoffroy Saint-Hilaire";75005;PARIS;0140795601;www.mnhn.fr;Ouvert du mercredi au lundi de 10h à 17h
433;Musée Cernuschi, Musée des Arts de l'Asie de la ville de Paris;7, Avenue Velasquez;75008;PARIS;0153962150;www.cernuschi.paris.fr;Ouvert du mardi au dimanche de 10h à 18h
434;Musée Cognacq-Jay, Musée du XVIIIe siècle de la ville de Paris;8, Rue Elzévir;75003;PARIS;0140270721;www.museecognacqjay.paris.fr;Ouvert du mardi au dimanche de 10h à 18h
435;Musée Hébert;"Hôtel de Montmorency-Bours
85, Rue du Cherche Midi";75006;PARIS;0142222382;http://www.musee-orsay.fr/fr/info/musee-hebert.html;
436;Musée National de la Légion d'Honneur et des Ordres de Chevalerie;2, Rue de la Légion d'Honneur;75007;PARIS;0140628425;www.legiondhonneur.fr;Ouvert du mercredi au dimanche de 13h à 18h. Accessible le mardi pour les groupes sur réservation
437;Musée Bourdelle;16, Rue Antoine Bourdelle;75015;PARIS;0149547373;www.bourdelle.paris.fr;Ouvert du mardi au dimanche de 10h à 18h
438;Établissement Public de la Porte Dorée - Musée de l’Histoire de l’Immigration;"Palais de la Porte Dorée
293, avenue Daumesnil";75012;PARIS;0153595860;www.histoire-immigration.fr;Ouvert du mardi au vendredi de 10h à 17h30 et le samedi et dimanche de 10h à 19h
439;Musée National de la Marine;17, Place du Trocadéro;75116;PARIS;0153656969;www.musee-marine.fr;Ouvert lundi, mercredi au vendredi de 10h à 18h, samedi-dimanche de 10h à 19h
440;Musée National du Sport;93, avenue de France;75013;PARIS;0145831580;www.museedusport.fr;Ouvert du mardi au vendredi de 10h à 18h et le samedi et premier dimanche du mois et jours fériés de 14h à 18h
441;Musée National Jean-Jacques Henner;43, Avenue de Villiers;75017;PARIS;0147636437;http://www.musee-henner.fr/;Ouvert du mercredi au dimanche de 11h à 18h
442;Musée de Montmartre;12, Rue Cortot;75018;PARIS;0149258937;www.museedemontmartre.fr;Ouvert de 10h à 18h toute l'année
443;Musée de l'Homme (Muséum National d'Histoire Naturelle);Place du Trocadéro;75116;PARIS;0144057272;www.mnhn.fr;
444;Musée National Picasso;"Hôtel Salé
5, Rue de Thorigny";75003;PARIS;0185560036;www.musee-picasso.fr;"Ouvert du mardi au vendredi de 11h30 à 18h, samedi et dimanche de 9h30 à 18h, jours fériés (sauf lundis) de 9h30 à 18h
En période de vacances scolaires (zone C), le Musée est ouvert du mardi au dimanche de 9h30 à 18h00"
445;Etablissement Public du Musée d'Orsay;62, Rue de Lille;75007;PARIS;0140494814;www.musee-orsay.fr;Ouvert le mardi, mercredi, vendredi au dimanche de 9h30 à 18h, le jeudi de 9h30 à 21h45
446;Maison de Balzac;47, rue Raynouard;75016;PARIS;0155744180;http://maisondebalzac.paris.fr/;Ouvert du mardi au dimanche de 10h à 18h
447;Musée Nissim de Camondo (Les Arts Décoratifs);63, Rue de Monceau;75008;PARIS;0153890650;www.lesartsdecoratifs.fr/;Ouvert du mercredi au dimanche de 10h à 17h30
448;Musée de la Musique;221, Avenue Jean-Jaurès;75019;PARIS;0144844500;www.citedelamusique.fr;Ouvert du mardi au samedi de 12h à 18h, dimanche de 10h à 18h. Nocturne expositions temporaires le vendredi
449;Petit Palais, Musée des Beaux-Arts de la ville de Paris;Avenue Winston-Churchill;75008;PARIS;0142651273;www.petitpalais.paris.fr;Ouvert tous les jours de 10h à 18h
450;Musée de la Franc-Maçonnerie;16, Rue Cadet;75009;PARIS;0145232092;www.museefm.org;Ouvert du Lundi au vendredi de 10h à 12h30 et de  14h à 18h, le samedi de 10h à 13h et de 14h à 19h
451;Musée de la Vie Romantique;16, Rue Chaptal;75009;PARIS;0155319567;www.vie-romantique.paris.fr;Ouvert du mardi au dimanche de 10h à 18h
452;Musée de la Publicité (Les Arts Décoratifs);107, Rue de Rivoli;75010;PARIS;;www.museedelapub.org et www.lesartsdecoratifs.fr/;
453;Etablissement public de la Porte Dorée - Aquarium Tropical;293, avenue Daumesnil;75012;PARIS;0144748480;www.aquarium-portedoree.fr;Ouvert tous les jours du mardi au vendredi de 10h à 17h15, le week-end de 10h à 19h, y compris certains jours fériés
454;Les Catacombes;"1, avenue du Colonel Henri Rol-Tanguy
(Place Denfert-Rochereau)";75014;PARIS;0143224763;www.catacombes.paris.fr;Ouvert du mardi au dimanche de 10h à 20h
455;Musée National Gustave Moreau;14, Rue de la Rochefoucauld;75009;PARIS;0148743850;www.musee-moreau.fr;Ouvert du mercredi au lundi de 10h à 12h45 et de 14h à 17h15
456;Musées des Arts Décoratifs;107, Rue de Rivoli;75001;PARIS;0144555750;www.lesartsdecoratifs.fr/;Mardi au vendredi de 11h à 18h - samedi et dimanche de 10h à 18h
457;Musée de l'Armée;"Hôtel National des Invalides
129, rue de Grenelle";75007;PARIS;0144423877;/www.musee-armee.fr;Ouvert d'avril à octobre de 10h à 18h, de novembre à mars de 10h à 17h (17h30 pendant les vacances de Noël et de printemps). Du 15 juin au 15 septembre l'église du dôme reste ouverte jusqu'à 19h
458;Palais Galliera - Musée de la Mode de la ville de Paris;10, Avenue Pierre 1er de Serbie;75116;PARIS;0156528600;www.palaisgalliera.paris.fr;Ouvert du mardi au dimanche de 10h à 18h
459;Musée d'Art et d'Histoire du Judaïsme;"Hôtel de Saint-Aignan
71, Rue du Temple";75003;PARIS;0153018653;www.mahj.org;Ouvert du lundi au vendredi de 11h à 18h et le dimanche de 10h à 18h. Nocturne jusqu'à 21h lors des expositions temporaires le mercredi
460;Musées Arts Décoratifs  Mode et du Textile;107, Rue de Rivoli;75001;PARIS;0144555750;www.lesartsdecoratifs.fr;Ouvert du mardi au vendredi de 11h à 18h, samedi et dimanche de 10h à 18h, nocturnele jeudi jusqu'à 21h
461;Etablissement Public de la Porte Dorée;"Palais de la Porte Dorée
293, avenue Daumesnil";;PARIS;;http://www.palais-portedoree.fr/;Ouvert du mardi au vendredi, de 10h à 17h30, et le samedi et dimanche jusque 19h
462;Musée National de L'Orangerie des Tuileries;Jardin des Tuileries;75001;PARIS;0144504300;www.musee-orangerie.fr;Ouvert du mercredi au lundi de 9h à 18h
463;Musée d'Art Moderne de la ville de Paris;11, Avenue du Pdt Wilson;75116;PARIS;0153674000;www.mam.paris.fr;Ouvert du mardi au dimanche de 10 à 18 h. Nocturne le mercredi jusqu'a 22h pour les expositions temporaires
464;Musée du Maréchal Leclerc de Hautecloque et de la Libération de Paris - Musée Jean Moulin;23, Allée de la 2ème DB;75015;PARIS;0140643944;www.museesleclercmoulin.paris.fr;Ouvert du mardi au dimanche de 10h à 18h
465;Musée National Auguste Rodin;"Hôtel Biron
77, rue de Varenne";75007;PARIS;0144186110;www.musee-rodin.fr;Ouvert du mardi au dimanche de 10h à 18h
466;Musée d'Ennery;59, Avenue Foch;75116;PARIS;0156525345;http://www.guimet.fr/fr/musee-dennery/histoire-du-musee-dennery;Ouvert les jeudis, samedis et dimanches après-midi uniquement en visite conférence, sur réservation
